oid,locIndex,geoid10,csaName,walkIndex
"33813",48.97804,"80050056312","Denver-Aurora-Boulder, CO","14"
"33814",48.66018,"80050056313","Denver-Aurora-Boulder, CO","15"
"33815",47.85663,"80050056321","Denver-Aurora-Boulder, CO","16"
"33816",48.70205,"80050056322","Denver-Aurora-Boulder, CO","15"
"33817",50.70343,"80050056331","Denver-Aurora-Boulder, CO","12"
"33818",45.01005,"80050056332","Denver-Aurora-Boulder, CO","15"
"33819",45.64976,"80050056341","Denver-Aurora-Boulder, CO","12"
"33820",45.64703,"80050056342","Denver-Aurora-Boulder, CO","14"
"33821",45.83176,"80050056351","Denver-Aurora-Boulder, CO","9"
"33822",47.25036,"80050056352","Denver-Aurora-Boulder, CO","6"
"33823",42.33061,"80050056353","Denver-Aurora-Boulder, CO","12"
"33824",62.04568,"80050056361","Denver-Aurora-Boulder, CO","7"
"33825",39.95592,"80050057001","Denver-Aurora-Boulder, CO","17"
"33826",41.80787,"80050057002","Denver-Aurora-Boulder, CO","19"
"33827",42.83755,"80050057003","Denver-Aurora-Boulder, CO","12"
"33828",46.49857,"80050058001","Denver-Aurora-Boulder, CO","14"
"33829",35.69634,"80050058002","Denver-Aurora-Boulder, CO","16"
"33830",44.27951,"80050059511","Denver-Aurora-Boulder, CO","12"
"33831",29.30107,"80050059512","Denver-Aurora-Boulder, CO","18"
"33832",24.79702,"80050059513","Denver-Aurora-Boulder, CO","13"
"33833",34.549,"80050059514","Denver-Aurora-Boulder, CO","16"
"33834",50.18197,"80050059521","Denver-Aurora-Boulder, CO","14"
"33835",40.23473,"80050059522","Denver-Aurora-Boulder, CO","12"
"33836",28.43639,"80050060001","Denver-Aurora-Boulder, CO","17"
"33837",37.79631,"80050060002","Denver-Aurora-Boulder, CO","15"
"33838",39.06201,"80050060003","Denver-Aurora-Boulder, CO","15"
"33839",33.07076,"80050061001","Denver-Aurora-Boulder, CO","14"
"33840",41.63319,"80050061002","Denver-Aurora-Boulder, CO","16"
"33841",41.59047,"80050061003","Denver-Aurora-Boulder, CO","13"
"33842",44.14034,"80050062001","Denver-Aurora-Boulder, CO","13"
"33843",38.78135,"80050062002","Denver-Aurora-Boulder, CO","16"
"33844",45.6146,"80050062003","Denver-Aurora-Boulder, CO","12"
"33845",37.68463,"80050062004","Denver-Aurora-Boulder, CO","13"
"33846",44.186,"80050063001","Denver-Aurora-Boulder, CO","14"
"33847",44.77827,"80050063002","Denver-Aurora-Boulder, CO","12"
"33848",47.49935,"80050063003","Denver-Aurora-Boulder, CO","16"
"33849",43.45603,"80050063004","Denver-Aurora-Boulder, CO","17"
"33850",41.33476,"80050064001","Denver-Aurora-Boulder, CO","15"
"33851",38.86243,"80050064002","Denver-Aurora-Boulder, CO","15"
"33852",44.25915,"80050064003","Denver-Aurora-Boulder, CO","9"
"33853",40.24867,"80050065011","Denver-Aurora-Boulder, CO","16"
"33854",38.829,"80050065021","Denver-Aurora-Boulder, CO","15"
"33855",44.83034,"80050065022","Denver-Aurora-Boulder, CO","14"
"33856",40.79334,"80050065023","Denver-Aurora-Boulder, CO","13"
"33857",33.56725,"80050066011","Denver-Aurora-Boulder, CO","15"
"33858",43.17626,"80050066012","Denver-Aurora-Boulder, CO","16"
"33859",25.69616,"80050066013","Denver-Aurora-Boulder, CO","11"
"33860",33.63561,"80050066014","Denver-Aurora-Boulder, CO","16"
"33861",34.26983,"80050066031","Denver-Aurora-Boulder, CO","12"
"33862",50.63516,"80050066032","Denver-Aurora-Boulder, CO","15"
"33863",37.78276,"80050066033","Denver-Aurora-Boulder, CO","14"
"33864",43.0827,"80050066041","Denver-Aurora-Boulder, CO","14"
"33865",39.50018,"80050066042","Denver-Aurora-Boulder, CO","11"
"33866",36.26949,"80050066043","Denver-Aurora-Boulder, CO","16"
"33867",64.29514,"80050067041","Denver-Aurora-Boulder, CO","11"
"33868",67.51508,"80050067042","Denver-Aurora-Boulder, CO","10"
"33869",68.49251,"80050067043","Denver-Aurora-Boulder, CO","9"
"33870",83.02672,"80050067044","Denver-Aurora-Boulder, CO","12"
"33871",70.66728,"80050067051","Denver-Aurora-Boulder, CO","8"
"33872",46.033,"80050067061","Denver-Aurora-Boulder, CO","15"
"33873",46.9222,"80050067062","Denver-Aurora-Boulder, CO","6"
"33874",50.78257,"80050067063","Denver-Aurora-Boulder, CO","9"
"33875",43.63609,"80050067071","Denver-Aurora-Boulder, CO","16"
"33876",47.70395,"80050067072","Denver-Aurora-Boulder, CO","7"
"33877",43.22938,"80050067073","Denver-Aurora-Boulder, CO","10"
"33878",51.58834,"80050067074","Denver-Aurora-Boulder, CO","7"
"33879",49.0791,"80050067081","Denver-Aurora-Boulder, CO","11"
"33880",51.09987,"80050067082","Denver-Aurora-Boulder, CO","10"
"33881",45.62974,"80050067083","Denver-Aurora-Boulder, CO","10"
"33882",47.83068,"80050067091","Denver-Aurora-Boulder, CO","9"
"33883",51.58059,"80050067092","Denver-Aurora-Boulder, CO","10"
"33884",47.85708,"80050067093","Denver-Aurora-Boulder, CO","11"
"33885",44.59859,"80050067094","Denver-Aurora-Boulder, CO","11"
"33886",47.34869,"80050067111","Denver-Aurora-Boulder, CO","10"
"33887",44.6572,"80050067112","Denver-Aurora-Boulder, CO","11"
"33888",47.51212,"80050067113","Denver-Aurora-Boulder, CO","10"
"33889",47.52538,"80050067114","Denver-Aurora-Boulder, CO","9"
"33890",71.17487,"80050067121","Denver-Aurora-Boulder, CO","10"
"33891",76.84503,"80050067122","Denver-Aurora-Boulder, CO","14"
"33892",36.71068,"80050067131","Denver-Aurora-Boulder, CO","14"
"33893",61.09351,"80050068081","Denver-Aurora-Boulder, CO","9"
